order_id,order_date,customer_id,region,product_category,quantity,price,revenue,discount
1,2024-01-01,C001,US,Electronics,1,299.99,299.99,0.00
2,2024-01-02,C002,US,Home,2,49.99,99.98,10.00
3,2024-01-03,C003,CA,Clothing,3,19.99,59.97,0.00
4,2024-01-04,C004,US,Electronics,1,499.99,499.99,50.00
5,2024-01-05,C005,EU,Sports,1,89.99,89.99,0.00
6,2024-01-06,C006,US,Home,4,24.99,99.96,5.00
7,2024-01-07,C007,US,Clothing,2,39.99,79.98,0.00
8,2024-01-08,C008,CA,Electronics,1,199.99,199.99,20.00
9,2024-01-09,C009,EU,Home,1,59.99,59.99,0.00
10,2024-01-10,C010,US,Clothing,5,9.99,49.95,0.00
11,2024-01-11,C001,US,Electronics,1,299.99,299.99,0.00
12,2024-01-12,C002,US,Home,3,39.99,119.97,10.00
13,2024-01-13,C003,CA,Clothing,1,24.99,24.99,0.00
14,2024-01-14,C004,US,Electronics,2,249.99,499.98,25.00
15,2024-01-15,C005,EU,Sports,2,59.99,119.98,0.00
16,2024-01-16,C006,US,Home,1,79.99,79.99,5.00
17,2024-01-17,C007,US,Clothing,4,14.99,59.96,0.00
18,2024-01-18,C008,CA,Electronics,1,149.99,149.99,15.00
19,2024-01-19,C009,EU,Home,2,34.99,69.98,0.00
20,2024-01-20,C010,US,Clothing,3,29.99,89.97,0.00
21,2024-01-21,C011,US,Electronics,1,399.99,399.99,40.00
22,2024-01-22,C012,US,Home,2,69.99,139.98,10.00
23,2024-01-23,C013,CA,Clothing,2,19.99,39.98,0.00
24,2024-01-24,C014,US,Electronics,1,549.99,549.99,60.00
25,2024-01-25,C015,EU,Sports,1,129.99,129.99,0.00
26,2024-01-26,C016,US,Home,3,29.99,89.97,5.00
27,2024-01-27,C017,US,Clothing,1,49.99,49.99,0.00
28,2024-01-28,C018,CA,Electronics,2,179.99,359.98,30.00
29,2024-01-29,C019,EU,Home,1,39.99,39.99,0.00
30,2024-01-30,C020,US,Clothing,2,24.99,49.98,0.00
31,2024-01-31,C011,US,Electronics,1,299.99,299.99,0.00
32,2024-02-01,C012,US,Home,4,19.99,79.96,10.00
33,2024-02-02,C013,CA,Clothing,3,14.99,44.97,0.00
34,2024-02-03,C014,US,Electronics,1,449.99,449.99,45.00
35,2024-02-04,C015,EU,Sports,2,89.99,179.98,0.00
36,2024-02-05,C016,US,Home,1,99.99,99.99,5.00
37,2024-02-06,C017,US,Clothing,5,19.99,99.95,0.00
38,2024-02-07,C018,CA,Electronics,1,159.99,159.99,10.00
39,2024-02-08,C019,EU,Home,2,44.99,89.98,0.00
40,2024-02-09,C020,US,Clothing,1,34.99,34.99,0.00
41,2024-02-10,C021,US,Electronics,1,249.99,249.99,20.00
42,2024-02-11,C022,US,Home,2,54.99,109.98,10.00
43,2024-02-12,C023,CA,Clothing,2,29.99,59.98,0.00
44,2024-02-13,C024,US,Electronics,1,499.99,499.99,50.00
45,2024-02-14,C025,EU,Sports,1,99.99,99.99,0.00
46,2024-02-15,C026,US,Home,3,24.99,74.97,5.00
47,2024-02-16,C027,US,Clothing,3,24.99,74.97,0.00
48,2024-02-17,C028,CA,Electronics,2,189.99,379.98,25.00
49,2024-02-18,C029,EU,Home,1,64.99,64.99,0.00
50,2024-02-19,C030,US,Clothing,4,19.99,79.96,0.00
